,lat,lon,lightning_time
0,12.904130515008251,121.4949236843189,2020-05-15 18:33:18
1,11.943347510101368,120.80026878971051,2020-05-15 18:34:25
2,11.132125828131485,121.98952345296729,2020-05-15 18:39:15
3,12.876509275416296,120.22423926943532,2020-05-15 18:39:17
4,6.484668039834972,115.58068348663599,2020-05-15 18:59:55
5,8.921497432118606,118.72019625960169,2020-05-15 19:44:59
6,12.592039120551334,120.45491611101498,2020-05-15 19:49:43
7,11.2977632497077,122.68943475744655,2020-05-15 19:50:04
8,10.92719104719086,122.46074950688916,2020-05-15 20:04:27
9,11.11485077375724,122.44777676127217,2020-05-15 20:08:18
10,12.945167170913464,120.15892500253028,2020-05-15 20:09:37
11,12.16342864277712,120.82587635061714,2020-05-15 20:09:42
12,11.79394533004347,119.49646431299959,2020-05-15 20:09:43
13,12.879485913888221,120.12088281955356,2020-05-15 20:09:44
14,11.041435397380297,122.5475309243644,2020-05-15 20:11:09
15,12.725255782682439,120.46736890338991,2020-05-15 20:11:44
16,12.821070509216058,120.24601190094762,2020-05-15 20:14:19
17,12.513943686528894,120.47679800764982,2020-05-15 20:19:12
18,9.522940946907738,123.23950874117078,2020-05-15 20:29:42
19,12.877969142558015,119.88833723078528,2020-05-15 20:32:55
20,12.761647322065137,120.34750664060753,2020-05-15 20:35:06
21,10.919280572933548,122.30865818762727,2020-05-15 20:48:21
22,11.40838022344407,122.43824051226271,2020-05-15 20:54:46
23,5.612429648125328,113.9260480740565,2020-05-15 20:54:48
24,12.465075754214809,120.90942029651262,2020-05-15 21:06:44
25,12.358023224190674,121.05455844098321,2020-05-15 21:12:10
26,10.874463164101003,122.5458522684978,2020-05-15 21:26:44
27,10.48503026101816,121.37352517766824,2020-05-15 21:28:23
28,11.095037417056847,122.5363889582431,2020-05-15 21:28:34
29,11.308400316067434,121.87940356208617,2020-05-15 21:29:33
30,12.758305537294,120.25372428113586,2020-05-15 21:29:51
